room_type,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price
0,1,3,1,0,30
0,6,8,1,249,100
0,2,32,3,17,80
1,1,27,1,276,175
0,1,6,3,56,40
0,1,113,2,57,40
0,1,51,3,55,70
1,2,52,1,40,65
1,3,23,1,0,165
1,5,1,1,0,200
0,2,6,1,72,65
1,5,0,1,0,161
0,2,23,1,104,90
1,2,10,1,78,299
1,3,0,1,0,250
0,2,93,1,129,115
0,2,3,1,332,75
1,3,2,1,207,165
1,4,82,1,331,150
0,3,59,2,77,75
0,2,3,1,0,62
0,5,0,1,0,25
0,4,0,1,0,100
1,5,26,1,0,165
1,2,19,1,0,130
2,3,1,2,0,70
0,1,2,1,342,70
1,7,44,3,193,175
0,1,15,1,0,50
0,1,37,4,22,50
0,3,4,1,3,65
1,2,26,1,0,150
0,3,0,1,0,80
1,4,1,1,0,150
1,3,44,1,332,249
1,1,2,1,0,105
0,4,39,1,338,60
1,1,0,1,159,58
1,5,1,1,0,200
1,1,52,1,81,110
0,1,23,1,290,65
0,2,3,3,342,86
0,2,0,1,363,100
1,1,10,1,0,450
1,6,6,1,0,128
0,1,0,1,0,35
1,1,20,1,355,139
0,7,47,2,121,80
1,2,20,1,10,275
0,3,1,1,0,50
1,3,3,1,0,180
1,3,30,1,122,140
0,1,14,1,0,75
1,4,4,3,221,399
0,1,2,4,1,60
0,5,179,1,0,99
1,1,122,1,80,142
1,10,5,1,88,125
0,1,2,1,0,99
0,7,1,1,11,40
0,2,0,1,0,50
0,3,0,1,0,100
0,1,1,1,0,73
0,3,10,4,236,160
0,1,15,1,249,30
1,2,2,1,45,150
0,3,72,1,179,65
1,3,4,2,0,210
2,3,0,1,0,80
0,4,48,3,0,65
1,5,6,1,0,150
0,2,26,1,112,60
1,4,2,2,128,190
1,2,3,1,0,118
1,7,6,1,0,145
0,5,75,1,13,31
0,1,4,2,84,50
1,1,0,1,0,90
0,1,33,1,84,100
1,2,4,1,0,265
1,5,0,2,365,400
0,2,0,2,0,65
0,2,8,1,0,90
0,1,0,1,0,46
0,3,0,1,0,136
1,1,0,1,0,275
0,1,0,1,0,70
0,1,0,2,0,65
1,2,0,1,17,95
1,7,27,1,192,110
1,1,6,2,179,150
1,2,3,1,0,250
1,2,45,1,31,140
1,2,385,1,222,139
0,2,0,1,0,188
1,2,4,1,1,170
1,5,4,1,285,120
0,2,20,3,353,55
0,1,12,1,13,50
1,2,1,1,26,115
1,4,5,1,0,129
1,3,36,1,21,102
1,2,0,1,0,100
1,4,2,1,0,215
0,5,2,1,0,45
0,7,1,1,0,56
0,1,2,1,7,85
1,4,13,1,2,220
1,3,6,1,0,175
1,2,23,1,0,275
1,2,0,1,0,199
0,1,4,1,0,69
1,3,119,2,58,150
0,1,17,4,208,33
1,2,1,1,0,170
0,1,0,1,269,150
2,4,3,1,0,110
1,2,76,1,0,140
0,2,2,1,0,150
1,7,1,1,14,151
0,2,24,1,20,139
1,7,2,1,0,85
0,1,6,3,155,75
0,2,1,1,0,70
0,1,4,1,0,110
1,7,11,1,11,200
1,3,31,4,290,399
1,4,20,1,14,95
1,3,4,1,167,489
1,3,9,1,0,249
1,3,10,1,51,189
0,5,5,1,0,50
0,1,9,1,84,60
1,2,0,2,91,169
1,2,0,1,365,349
0,3,0,1,18,80
1,3,105,1,104,175
1,8,1,1,0,65
1,4,123,1,43,165
1,7,2,1,0,85
0,1,151,1,129,90
1,4,1,1,12,145
1,5,0,1,0,130
0,3,0,1,0,60
0,1,0,1,0,50
1,4,0,1,177,380
1,7,4,1,10,75
0,5,19,3,316,40
0,5,0,1,132,55
1,3,0,1,161,450
1,2,93,1,251,600
1,5,0,3,40,120
1,3,2,1,0,125
1,4,1,1,0,120
1,5,1,1,0,400
0,1,139,1,364,70
1,3,15,1,35,150
0,1,48,1,312,72
1,3,0,1,0,154
0,1,0,1,0,60
0,1,9,2,97,36
1,2,7,3,37,150
0,4,1,1,39,175
1,3,102,2,215,175
1,3,1,1,0,150
1,1,21,4,292,525
0,2,36,1,144,25
0,2,5,1,57,80
2,2,12,2,89,80
1,4,125,1,239,140
1,5,3,1,0,200
0,1,1,1,86,80
0,3,82,1,0,90
0,4,0,1,44,74
0,3,15,1,179,89
1,3,14,2,0,149
1,1,35,1,141,325
1,3,6,1,194,130
1,2,209,1,241,119
0,1,8,1,64,33
0,5,2,4,364,270
1,1,76,1,311,210
0,2,30,1,0,91
0,5,20,2,365,65
1,5,10,1,31,165
1,10,3,1,45,220
0,2,118,1,0,79
1,2,0,1,226,135
0,1,19,1,356,60
0,3,242,3,355,50
0,3,0,1,87,65
0,1,2,1,0,25
1,2,109,1,53,125
0,2,10,1,0,50
1,3,1,1,0,155
0,1,44,1,19,85
0,3,9,2,142,85
1,3,5,3,45,120
1,4,1,1,0,100
1,10,9,1,0,149
0,2,10,3,68,65
1,5,77,1,44,113
0,4,23,1,212,75
0,3,2,3,85,140
1,3,170,1,82,200
1,3,4,1,9,175
0,1,1,1,0,45
0,2,1,1,0,55
1,2,4,1,0,150
2,1,0,3,363,20
1,1,0,2,0,200
1,2,1,1,0,225
0,5,114,3,323,49
1,5,28,1,0,110
0,1,0,1,116,33
1,2,3,1,128,179
1,3,25,2,188,250
0,7,16,3,287,65
0,2,20,1,6,40
1,2,90,1,73,95
1,1,20,1,28,80
0,6,2,1,250,64
1,3,35,1,190,140
0,3,1,1,341,85
1,4,19,1,80,150
1,4,4,1,9,95
0,1,0,1,0,250
0,2,4,1,0,50
1,1,75,3,243,345
1,4,56,2,148,182
1,1,53,1,178,62
1,2,61,1,341,200
1,4,2,1,0,175
0,3,2,1,0,43
0,1,0,1,0,90
0,4,5,1,80,75
0,3,3,2,0,49
1,1,0,1,0,850
0,1,0,1,0,100
1,3,25,1,0,120
0,2,31,2,77,44
1,2,103,1,185,125
0,1,0,1,310,65
0,1,0,1,83,180
1,3,3,2,302,450
1,7,4,1,1,95
0,3,2,1,56,47
0,2,0,2,0,89
0,2,2,1,0,178
0,1,5,2,0,112
1,1,12,1,364,750
1,2,12,1,320,98
0,2,169,4,306,39
0,1,1,2,0,49
0,4,117,1,232,37
0,2,29,1,57,68
0,3,11,2,0,70
0,2,0,1,0,85
1,3,19,1,7,150
1,1,0,1,87,300
0,2,29,2,0,110
1,2,41,1,111,86
0,1,0,1,364,208
1,5,31,1,278,300
0,2,9,1,17,175
0,1,3,1,0,90
1,3,4,1,0,195
0,1,6,1,0,95
1,3,94,1,8,215
1,2,0,1,0,280
1,6,13,1,0,100
0,2,3,1,0,80
0,1,6,3,220,57
1,2,0,1,0,159
1,5,8,2,9,75
0,3,42,1,81,45
0,3,18,4,365,143
1,4,0,1,0,150
1,3,109,1,264,1195
0,1,3,1,0,70
0,7,12,1,0,56
1,6,44,1,280,148
1,1,3,1,339,275
1,2,8,1,0,175
0,3,4,1,310,35
2,2,0,1,0,300
0,5,1,1,0,76
0,1,8,3,253,100
0,4,39,1,242,52
1,1,3,1,0,195
0,2,28,1,82,80
0,3,8,1,179,85
0,3,1,1,0,65
1,1,6,1,299,190
0,1,142,1,93,65
0,7,13,1,13,110
1,2,110,1,0,200
0,2,31,1,319,70
1,4,7,1,5,69
1,7,0,1,0,250
0,2,15,2,114,55
2,1,1,1,0,45
0,2,0,1,0,55
1,3,5,1,0,50
0,5,5,1,0,73
0,1,6,3,365,100
0,1,8,1,192,36
1,1,0,1,9,350
0,3,0,1,365,250
0,2,1,1,364,77
1,3,10,1,0,96
0,2,19,1,0,80
0,7,28,2,333,55
1,5,6,1,0,227
0,2,0,1,61,80
1,1,118,1,28,300
1,3,12,1,0,100
0,1,169,1,134,45
1,4,66,1,0,88
1,1,104,1,97,80
1,2,17,2,0,175
0,1,29,3,333,65
0,1,1,1,90,60
0,1,1,2,0,89
1,2,189,4,238,49
1,3,15,1,0,108
0,4,2,1,0,50
0,7,0,2,0,36
1,1,0,1,0,500
1,2,95,1,305,99
0,1,5,2,351,100
1,3,1,1,353,250
1,1,6,1,0,128
1,2,1,3,0,275
0,2,36,1,5,77
0,5,43,2,365,70
0,2,5,1,0,60
1,5,0,1,46,270
0,1,0,1,0,40
0,1,0,1,0,68
1,5,1,1,363,395
0,2,0,1,32,200
1,1,15,1,2,200
1,3,0,1,0,59
0,1,1,1,0,100
1,7,0,1,0,300
0,1,1,1,0,61
1,2,7,1,14,45
0,5,1,1,0,45
1,2,4,1,0,180
1,2,0,4,299,239
1,2,74,1,141,175
0,1,44,1,73,89
1,2,12,1,0,224
0,2,0,1,0,129
0,2,5,1,2,60
1,4,3,1,4,95
1,5,51,1,347,595
0,1,41,1,5,55
1,6,1,1,24,157
1,3,1,1,0,85
1,4,5,1,10,130
0,1,0,2,173,60
1,1,114,1,157,290
0,1,205,2,349,120
0,4,7,1,125,110
0,1,4,1,0,85
1,7,9,1,0,165
0,4,56,2,301,89
1,5,105,1,6,117
1,2,18,1,0,150
0,3,87,2,39,150
0,1,0,1,0,36
0,1,2,1,0,49
1,1,1,1,0,199
0,1,13,1,2,100
0,3,35,1,158,59
0,1,2,1,0,80
0,2,3,1,2,110
1,2,5,1,0,300
0,1,30,4,143,35
2,1,16,1,14,120
0,1,68,1,5,100
1,4,2,2,34,160
1,5,0,1,317,180
1,1,0,1,0,1500
0,1,17,3,231,25
2,1,5,2,0,61
0,1,86,1,45,67
0,3,16,3,360,99
1,2,16,1,0,90
0,2,10,2,127,89
1,5,74,1,216,250
0,3,15,2,0,50
0,1,44,2,75,65
1,1,34,1,0,120
1,2,0,4,229,450
1,2,35,2,140,188
1,1,1,2,0,226
1,1,59,1,262,125
1,2,1,1,5,160
0,1,1,1,0,36
1,3,4,1,1,159
0,4,4,3,89,90
1,5,5,1,1,160
1,1,234,2,164,99
0,1,1,1,0,150
0,3,1,1,362,65
0,3,24,2,190,85
0,2,45,2,310,62
1,1,15,4,364,750
0,1,0,1,0,100
1,2,10,1,36,189
0,1,4,1,333,50
1,1,68,1,98,148
0,2,6,1,0,45
1,2,9,1,0,175
1,1,48,1,21,90
0,6,7,1,2,52
1,3,9,1,0,189
1,3,19,1,257,239
1,1,0,1,69,125
1,3,25,1,22,150
1,4,3,1,0,90
0,1,4,1,0,75
1,3,14,1,5,95
1,5,0,1,0,106
0,1,2,1,0,50
1,2,5,1,0,120
2,1,19,1,208,65
0,7,0,1,180,90
1,5,14,1,0,189
1,2,33,1,227,201
0,1,15,1,0,70
1,5,33,1,26,230
0,2,69,3,11,76
0,3,1,1,0,43
0,1,40,2,99,55
0,1,13,3,71,100
0,2,6,1,79,55
0,2,21,3,333,150
0,1,1,1,90,500
1,3,0,1,328,350
0,3,1,1,53,60
1,3,39,1,4,70
0,1,4,1,0,39
1,1,0,1,363,120
0,1,8,2,91,121
0,2,219,2,35,65
2,5,0,1,0,80
1,1,0,1,0,175
0,2,100,1,18,95
0,7,0,1,0,80
0,2,3,1,0,90
1,1,1,1,29,65
0,1,140,3,321,105
1,5,1,1,0,200
0,2,6,3,89,90
0,2,7,1,0,80
0,2,1,1,16,40
1,1,2,1,37,200
1,3,93,1,197,100
0,1,0,1,365,200
0,1,16,2,1,50
0,1,1,3,0,60
0,5,2,2,0,55
0,2,79,1,120,150
2,1,4,1,340,57
0,1,2,2,0,70
1,2,29,1,38,250
1,2,44,1,7,88
1,2,4,1,0,125
1,4,2,1,0,130
1,1,1,1,0,125
1,1,2,1,0,185
0,2,0,1,0,65
0,3,19,4,303,100
0,3,59,2,119,59
0,2,1,1,0,35
1,2,0,1,3,400
1,3,3,1,0,125
2,1,1,1,0,100
1,5,8,1,57,100
1,3,11,1,0,125
0,1,2,2,281,80
1,7,0,1,0,150
0,1,8,3,75,50
1,1,2,1,133,305
0,1,151,2,135,55
1,5,0,1,0,78
1,2,22,1,81,143
1,3,20,1,9,395
0,1,4,1,0,92
1,5,0,1,0,100
0,1,28,3,8,80
1,3,44,1,126,90
1,7,34,1,147,250
0,1,0,1,0,50
1,4,10,1,0,200
0,3,72,1,155,70
0,2,28,2,53,68
1,4,9,1,364,225
1,4,17,1,0,99
1,3,2,1,8,100
0,1,0,1,0,37
0,1,221,3,206,85
0,2,80,1,0,55
1,2,31,1,0,145
1,5,6,3,90,125
0,2,5,3,112,65
0,3,7,1,317,209
0,2,0,1,0,70
0,1,10,1,211,50
0,2,108,2,4,80
1,2,1,1,333,99
0,3,3,2,83,57
1,1,0,1,0,60
0,2,10,1,52,75
1,3,67,1,129,170
0,5,0,1,0,70
0,1,1,1,0,66
1,1,0,4,78,170
0,10,17,2,283,45
1,3,3,1,0,215
0,1,44,1,84,60
0,2,13,1,24,90
0,1,0,1,0,100
1,1,0,1,365,3750
0,1,11,1,0,52
1,6,15,1,364,450
0,1,13,1,0,50
1,1,0,1,0,125
0,3,145,1,32,70
0,1,15,1,0,41
1,5,6,1,0,150
1,2,36,1,0,149
1,2,24,1,207,220
0,7,0,1,89,20
1,1,24,2,280,250
0,1,1,1,0,110
1,2,5,1,334,350
1,1,1,1,0,78
1,2,0,1,157,299
1,8,4,1,0,150
1,4,2,1,138,225
0,1,15,1,0,34
1,4,2,1,297,250
1,6,11,1,200,195
0,4,3,1,0,90
0,3,1,2,310,86
0,2,1,1,0,70
1,7,3,1,0,123
0,1,392,1,71,53
0,1,8,1,1,20
0,2,29,2,121,70
1,3,6,1,0,89
0,10,1,1,0,38
1,1,38,1,123,200
0,10,1,1,0,66
0,2,7,1,0,55
0,1,0,1,0,59
0,3,2,1,0,50
1,1,310,2,23,50
1,1,176,1,297,299
0,1,2,1,0,50
0,1,2,2,0,35
1,2,81,1,27,120
0,1,9,1,35,69
0,3,10,3,0,55
1,3,3,1,0,167
1,2,2,1,0,250
0,1,32,2,123,40
1,1,0,1,0,300
1,10,0,1,0,385
0,3,8,2,40,65
0,1,11,1,0,100
0,1,3,1,0,65
0,5,0,2,0,70
0,2,1,1,0,60
0,3,37,1,0,68
1,2,7,3,52,72
2,3,0,2,88,139
0,10,2,1,0,40
0,3,3,2,365,80
0,2,15,2,48,64
1,2,8,1,0,275
1,2,65,1,92,199
1,3,0,1,0,100
0,1,29,2,0,49
0,2,2,1,0,160
1,3,92,1,248,130
0,1,0,1,95,109
0,3,56,2,304,72
1,4,3,1,0,135
0,1,5,4,32,45
0,1,6,4,335,65
0,4,2,1,0,40
1,1,7,1,0,99
1,1,0,1,365,590
1,2,2,1,37,145
1,4,4,1,0,125
0,3,4,1,0,64
1,3,40,1,128,99
1,1,0,1,192,185
1,3,33,1,192,165
0,2,4,4,365,140
1,3,7,1,117,135
1,3,38,1,199,649
1,10,1,1,189,175
1,1,67,1,321,240
0,1,1,2,269,138
0,1,1,1,87,55
0,7,0,1,0,86
1,2,72,1,96,250
1,3,6,1,252,375
2,5,8,1,0,40
1,5,62,1,336,65
0,7,1,1,0,37
1,7,23,1,20,80
2,1,8,1,180,200
1,2,0,1,0,200
1,2,25,1,5,199
0,2,16,2,20,90
0,8,0,1,13,95
1,6,0,1,10,100
0,5,0,1,0,80
1,1,8,1,233,109
1,1,29,3,162,600
1,4,3,1,0,125
1,4,60,1,320,148
1,1,1,1,0,175
1,2,338,2,225,225
0,3,2,1,118,26
1,2,49,1,171,149
1,3,21,2,349,150
1,3,6,1,176,499
0,2,73,3,257,100
0,1,153,2,132,69
1,1,43,1,231,99
1,5,2,1,145,260
1,3,3,1,0,145
1,2,10,1,103,199
0,3,2,1,0,80
0,2,295,2,210,60
1,3,50,3,351,375
1,2,104,1,22,125
0,1,4,1,0,100
0,1,2,1,0,65
0,1,0,2,179,79
1,1,0,1,0,400
1,4,31,1,10,180
0,2,3,1,89,52
0,1,0,1,0,150
1,4,79,1,246,150
1,1,4,4,56,150
1,2,9,1,0,115
0,1,0,1,179,225
1,1,12,1,109,180
1,4,119,1,273,150
1,5,10,1,29,99
1,3,54,2,240,119
1,1,0,1,0,1200
0,3,0,2,135,45
0,2,6,1,156,70
1,2,4,1,326,175
0,3,3,1,68,52
1,1,1,1,0,49
0,2,4,4,314,100
1,4,5,1,0,234
0,1,10,1,310,55
0,7,1,1,0,70
1,5,6,1,0,149
0,1,9,1,29,85
1,3,9,1,3,114
1,4,10,1,0,190
0,1,1,2,0,45
0,2,68,3,362,84
0,1,212,1,41,70
1,1,1,2,365,350
1,2,60,1,156,120
1,3,32,2,131,98
1,3,3,2,0,330
0,4,1,1,47,75
1,2,5,1,2,160
1,2,0,1,345,450
0,1,35,1,295,65
1,2,160,1,255,195
1,5,1,1,0,120
1,2,5,1,0,260
1,3,1,1,0,250
0,3,7,1,188,55
1,1,77,1,268,200
1,3,6,1,6,219
0,1,1,1,357,110
0,3,1,1,0,38
0,1,8,1,0,70
1,2,4,1,29,190
1,3,1,1,29,115
0,3,8,1,12,105
1,3,2,1,0,300
0,5,16,1,0,49
1,3,8,1,0,185
0,2,35,1,93,139
1,2,5,1,0,160
0,5,2,1,24,55
1,2,122,2,159,110
0,2,5,3,188,83
1,1,18,2,0,250
0,5,3,1,0,60
0,1,7,1,0,40
0,1,159,1,84,75
0,2,134,1,66,119
0,2,13,1,176,129
0,2,3,2,5,60
0,2,2,4,88,95
0,5,5,1,0,45
0,3,6,1,0,125
1,5,1,1,0,1000
0,10,1,1,0,40
1,2,78,1,80,225
1,1,66,1,365,895
1,4,21,2,189,160
0,5,0,1,0,40
0,2,6,1,0,100
0,2,6,1,0,95
1,2,3,1,16,200
1,1,10,1,0,300
1,2,34,2,273,124
0,1,0,1,0,88
0,4,30,2,179,60
1,1,9,1,0,170
1,2,3,1,0,114
0,1,12,1,358,72
0,2,6,2,1,65
1,3,32,1,141,750
0,3,6,1,83,72
0,1,14,2,0,85
1,5,0,1,15,370
0,1,1,2,0,125
0,3,26,4,347,110
1,1,50,1,8,155
1,3,1,1,5,140
1,2,1,1,9,250
0,2,67,2,20,50
0,1,4,2,308,55
1,5,85,1,235,63
1,1,8,1,12,100
1,1,4,1,365,333
0,2,12,2,81,55
0,2,0,1,171,90
0,1,56,2,307,40
1,5,1,1,0,90
1,4,0,1,0,140
0,3,58,2,298,55
1,4,0,1,0,110
1,2,12,1,41,75
0,1,158,2,355,65
1,2,40,1,190,400
1,1,138,1,252,179
1,1,7,3,64,350
1,2,0,1,139,15
1,3,78,1,312,195
1,2,24,1,55,71
2,1,3,2,90,49
0,3,3,1,0,75
1,4,0,1,83,299
1,5,0,2,142,128
